customer_id,campaign_id,amount,sale_date
4789,16,200,2024-11-30
4789,16,120,2024-11-30
4073,16,180,2023-10-21
4073,13,100,2023-10-21
4073,19,180,2023-10-21
4073,6,120,2023-10-21
4073,18,200,2023-10-21
562,15,140,2024-09-02
562,13,40,2024-09-02
562,13,60,2024-09-02
1581,3,60,2024-11-21
1581,7,40,2024-11-21
1581,9,180,2024-11-21
934,6,200,2024-03-09
934,12,60,2024-03-09
934,13,140,2024-03-09
488,4,140,2024-04-11
214,10,140,2025-05-21
214,8,200,2025-05-21
214,2,100,2025-05-21
214,4,120,2025-05-21
4105,9,20,2024-01-07
4105,14,80,2024-01-07
2162,7,100,2025-09-12
2162,3,60,2025-09-12
2162,11,200,2025-09-12
693,2,100,2025-04-14
693,8,60,2025-04-14
2788,4,160,2024-07-31
2046,18,20,2024-01-28
2046,16,40,2024-01-28
2046,11,140,2024-01-28
2046,17,60,2024-01-28
4506,17,100,2025-07-12
4506,5,80,2025-07-12
511,2,180,2023-10-19
511,12,120,2023-10-19
409,16,60,2023-10-17
409,17,180,2023-10-17
409,17,80,2023-10-17
2298,2,100,2023-11-16
2298,1,140,2023-11-16
2298,14,140,2023-11-16
4516,1,80,2025-01-21
4516,15,100,2025-01-21
4516,5,180,2025-01-21
4516,10,120,2025-01-21
1559,2,200,2023-10-17
1559,4,200,2023-10-17
3232,10,40,2024-01-17
3232,11,80,2024-01-17
3232,2,160,2024-01-17
3232,9,180,2024-01-17
3232,4,200,2024-01-17
4643,8,100,2025-06-17
4643,14,200,2025-06-17
4643,13,140,2025-06-17
4643,7,80,2025-06-17
4643,10,40,2025-06-17
631,9,160,2024-10-07
631,2,160,2024-10-07
631,4,80,2024-10-07
1239,17,40,2025-01-20
1239,20,40,2025-01-20
1239,11,20,2025-01-20
1239,16,140,2025-01-20
4971,16,120,2024-04-03
4971,14,160,2024-04-03
4971,7,120,2024-04-03
8,7,20,2024-02-27
4774,7,60,2024-02-20
4774,18,80,2024-02-20
4774,1,160,2024-02-20
4774,18,100,2024-02-20
2965,3,100,2024-05-20
2965,13,200,2024-05-20
2965,5,120,2024-05-20
2965,13,60,2024-05-20
2965,7,40,2024-05-20
4680,7,120,2023-11-07
4680,9,60,2023-11-07
4680,20,140,2023-11-07
4680,10,60,2023-11-07
2842,11,200,2024-04-01
2842,20,40,2024-04-01
2842,15,160,2024-04-01
2842,9,140,2024-04-01
4533,1,160,2024-02-19
3367,15,120,2024-10-09
3367,15,140,2024-10-09
3367,1,160,2024-10-09
3367,11,120,2024-10-09
183,10,40,2024-04-22
183,11,140,2024-04-22
183,8,40,2024-04-22
183,12,100,2024-04-22
183,17,120,2024-04-22
4320,13,20,2025-07-09
1570,19,100,2024-08-14
1570,6,160,2024-08-14
1570,19,20,2024-08-14
1570,16,40,2024-08-14
432,6,140,2024-05-25
2169,18,160,2024-07-28
2169,6,20,2024-07-28
4919,16,20,2025-07-13
4919,7,40,2025-07-13
4919,11,40,2025-07-13
4919,14,160,2025-07-13
4919,2,180,2025-07-13
2859,9,60,2025-06-07
2859,18,120,2025-06-07
2859,2,60,2025-06-07
2859,13,140,2025-06-07
407,3,140,2024-09-30
1760,7,160,2025-01-31
1760,9,20,2025-01-31
3573,5,20,2025-10-04
3573,3,20,2025-10-04
3573,20,180,2025-10-04
3573,2,140,2025-10-04
4677,15,180,2024-02-12
3662,18,180,2025-03-16
1108,16,120,2025-07-08
1108,13,60,2025-07-08
1108,13,100,2025-07-08
1108,20,60,2025-07-08
1108,16,140,2025-07-08
193,3,200,2025-10-01
193,18,80,2025-10-01
3420,6,200,2024-10-11
3420,11,40,2024-10-11
3420,8,160,2024-10-11
2181,16,60,2025-04-01
2181,6,40,2025-04-01
2181,9,160,2025-04-01
1493,16,180,2025-03-15
309,10,100,2024-05-30
309,8,60,2024-05-30
4009,15,100,2024-01-04
4553,6,120,2025-06-03
2397,3,40,2024-07-02
2397,16,100,2024-07-02
2397,11,60,2024-07-02
2397,14,100,2024-07-02
2860,18,60,2025-09-04
1001,9,100,2024-08-04
1001,1,80,2024-08-04
1001,4,80,2024-08-04
1001,6,200,2024-08-04
2508,14,100,2025-04-08
2508,5,140,2025-04-08
2508,17,160,2025-04-08
1054,13,60,2024-11-14
1054,13,20,2024-11-14
1054,11,40,2024-11-14
1054,9,200,2024-11-14
747,10,60,2025-08-14
747,17,80,2025-08-14
747,6,200,2025-08-14
747,9,40,2025-08-14
747,9,40,2025-08-14
1288,20,140,2024-04-01
1288,9,40,2024-04-01
1288,19,180,2024-04-01
1288,15,140,2024-04-01
1288,20,40,2024-04-01
4745,3,100,2024-01-29
4745,18,120,2024-01-29
4745,10,160,2024-01-29
4745,3,120,2024-01-29
4745,10,60,2024-01-29
4801,8,40,2025-02-24
4801,2,20,2025-02-24
4801,7,20,2025-02-24
4801,1,160,2025-02-24
4801,12,60,2025-02-24
667,7,80,2024-10-04
667,16,120,2024-10-04
3240,16,200,2024-03-26
3240,2,120,2024-03-26
3240,16,40,2024-03-26
236,14,80,2024-10-21
236,1,140,2024-10-21
250,17,60,2024-11-05
250,18,120,2024-11-05
1742,12,120,2024-08-28
1742,10,200,2024-08-28
1742,5,80,2024-08-28
1742,15,140,2024-08-28
2166,12,180,2025-09-15
2166,6,200,2025-09-15
2166,17,120,2025-09-15
2166,4,120,2025-09-15
4675,19,200,2023-11-17
4675,3,20,2023-11-17
4675,18,120,2023-11-17
4675,12,140,2023-11-17
2169,16,80,2025-07-05
2624,14,160,2024-06-14
2624,14,60,2024-06-14
2624,9,100,2024-06-14
2624,19,140,2024-06-14
4397,20,140,2025-08-02
4397,15,200,2025-08-02
4397,7,160,2025-08-02
4397,14,120,2025-08-02
4397,10,200,2025-08-02
2465,11,40,2025-08-20
2465,11,40,2025-08-20
2184,16,20,2024-02-23
177,14,20,2025-09-28
177,18,140,2025-09-28
177,16,40,2025-09-28
177,11,40,2025-09-28
177,6,20,2025-09-28
4987,9,40,2025-07-19
4987,13,160,2025-07-19
4987,7,100,2025-07-19
4987,9,180,2025-07-19
4987,8,80,2025-07-19
3009,8,80,2024-05-01
3009,1,180,2024-05-01
3009,5,160,2024-05-01
3009,8,120,2024-05-01
1237,12,120,2024-09-14
1237,18,180,2024-09-14
3730,19,200,2025-04-12
3730,13,120,2025-04-12
2247,12,60,2024-08-31
2247,7,180,2024-08-31
2247,9,60,2024-08-31
2247,14,100,2024-08-31
2247,16,200,2024-08-31
491,11,180,2024-01-28
491,13,40,2024-01-28
3948,12,120,2025-01-30
3948,17,20,2025-01-30
3310,13,80,2025-08-07
3310,17,80,2025-08-07
3310,15,180,2025-08-07
3310,20,180,2025-08-07
3310,17,60,2025-08-07
1672,16,120,2024-08-29
1672,15,200,2024-08-29
1672,3,140,2024-08-29
1672,7,60,2024-08-29
768,2,40,2024-10-17
768,5,200,2024-10-17
768,2,40,2024-10-17
2681,1,140,2025-06-21
2681,8,120,2025-06-21
1485,19,180,2024-02-24
4092,17,100,2025-08-31
4092,13,20,2025-08-31
1146,16,180,2024-09-11
1146,3,140,2024-09-11
1146,14,120,2024-09-11
3082,3,160,2025-08-05
3082,7,120,2025-08-05
3082,4,160,2025-08-05
3082,16,120,2025-08-05
3082,8,160,2025-08-05
4815,5,120,2024-06-02
4815,3,60,2024-06-02
1269,4,200,2025-09-22
1269,5,60,2025-09-22
1269,19,120,2025-09-22
1103,8,160,2025-07-09
4976,12,120,2024-12-02
4976,14,200,2024-12-02
4976,3,100,2024-12-02
1023,12,160,2025-08-13
1023,14,20,2025-08-13
1023,4,160,2025-08-13
4497,7,60,2024-02-05
4497,16,140,2024-02-05
36,2,160,2024-06-15
36,13,180,2024-06-15
36,10,60,2024-06-15
948,6,20,2024-03-10
948,17,80,2024-03-10
948,10,140,2024-03-10
948,9,120,2024-03-10
948,13,120,2024-03-10
879,4,40,2024-03-02
879,17,200,2024-03-02
879,12,100,2024-03-02
879,1,140,2024-03-02
4796,2,100,2024-06-27
4796,20,100,2024-06-27
4796,4,160,2024-06-27
4796,1,80,2024-06-27
3817,15,120,2024-05-09
3800,11,120,2023-11-18
3800,16,100,2023-11-18
3800,2,20,2023-11-18
3800,7,140,2023-11-18
855,11,20,2024-09-27
855,13,20,2024-09-27
3393,10,140,2024-09-25
3393,9,140,2024-09-25
3393,11,20,2024-09-25
3393,14,120,2024-09-25
3993,10,160,2025-03-03
3993,10,40,2025-03-03
3993,6,100,2025-03-03
3993,9,180,2025-03-03
4786,8,120,2024-03-01
4786,16,20,2024-03-01
586,10,120,2024-04-23
586,20,120,2024-04-23
586,4,40,2024-04-23
414,4,80,2025-09-29
414,11,200,2025-09-29
414,5,100,2025-09-29
1077,1,180,2024-09-14
1077,4,80,2024-09-14
1077,12,60,2024-09-14
1064,19,60,2025-04-02
2333,13,140,2024-06-20
2333,18,60,2024-06-20
2333,13,200,2024-06-20
2333,3,80,2024-06-20
2302,12,120,2025-05-14
2302,20,80,2025-05-14
2302,20,200,2025-05-14
2302,18,20,2025-05-14
3467,10,200,2023-11-20
3467,1,40,2023-11-20
3467,11,120,2023-11-20
1217,2,100,2025-04-03
1217,3,120,2025-04-03
287,18,120,2025-09-01
287,11,40,2025-09-01
3329,13,160,2025-05-29
3329,1,80,2025-05-29
4296,8,180,2023-11-27
4296,12,40,2023-11-27
4296,20,100,2023-11-27
4296,13,200,2023-11-27
4296,16,100,2023-11-27
4165,17,60,2023-12-14
2514,15,120,2024-11-12
2514,2,20,2024-11-12
2514,10,100,2024-11-12
2514,10,60,2024-11-12
2514,3,100,2024-11-12
1057,3,120,2025-06-12
2770,15,60,2024-10-04
2770,10,80,2024-10-04
2770,9,120,2024-10-04
2770,12,60,2024-10-04
2770,1,160,2024-10-04
3710,18,200,2024-03-18
3710,14,80,2024-03-18
773,13,100,2025-06-12
773,12,180,2025-06-12
773,7,200,2025-06-12
773,12,180,2025-06-12
988,1,100,2024-02-28
988,5,120,2024-02-28
945,15,180,2025-03-12
945,14,100,2025-03-12
945,3,200,2025-03-12
945,3,200,2025-03-12
1692,16,20,2024-04-08
1326,11,140,2024-11-01
1326,1,40,2024-11-01
1326,2,100,2024-11-01
1326,19,60,2024-11-01
1326,14,60,2024-11-01
1428,16,20,2025-10-03
1428,11,60,2025-10-03
2939,6,100,2024-03-14
2939,11,20,2024-03-14
2939,3,120,2024-03-14
465,18,20,2025-09-07
465,20,140,2025-09-07
465,17,80,2025-09-07
465,17,60,2025-09-07
4551,7,160,2025-03-04
4551,8,160,2025-03-04
4551,6,60,2025-03-04
3110,6,200,2025-08-08
3240,17,200,2025-07-01
3240,12,40,2025-07-01
3240,8,60,2025-07-01
2100,5,140,2023-12-31
2100,13,160,2023-12-31
4037,10,160,2024-04-28
4037,14,100,2024-04-28
4037,9,60,2024-04-28
4037,13,160,2024-04-28
4037,12,160,2024-04-28
4168,13,80,2024-09-06
4168,2,20,2024-09-06
4168,17,20,2024-09-06
4168,14,20,2024-09-06
4168,7,120,2024-09-06
4311,4,80,2025-04-08
4311,13,120,2025-04-08
4311,4,60,2025-04-08
4311,16,80,2025-04-08
4311,7,60,2025-04-08
3927,4,120,2025-03-25
3927,7,80,2025-03-25
3927,19,80,2025-03-25
3927,20,120,2025-03-25
3927,20,100,2025-03-25
2208,18,180,2024-03-15
2208,6,180,2024-03-15
2208,2,60,2024-03-15
2860,5,200,2024-07-29
4101,16,160,2025-10-11
4101,19,20,2025-10-11
3612,11,60,2024-05-21
3612,8,80,2024-05-21
3483,2,180,2025-02-06
3483,15,100,2025-02-06
3483,13,20,2025-02-06
3483,3,120,2025-02-06
3744,11,60,2025-06-24
3744,13,160,2025-06-24
3744,2,140,2025-06-24
3744,12,60,2025-06-24
213,10,40,2024-04-07
213,12,120,2024-04-07
213,9,100,2024-04-07
3149,16,180,2025-06-28
374,18,120,2024-08-29
374,14,20,2024-08-29
374,6,40,2024-08-29
374,16,180,2024-08-29
1061,17,140,2024-04-22
1061,11,40,2024-04-22
1061,7,20,2024-04-22
1061,15,20,2024-04-22
1061,13,120,2024-04-22
4731,17,160,2025-10-03
279,2,160,2023-12-12
279,6,140,2023-12-12
279,7,160,2023-12-12
4743,18,200,2024-10-08
4743,9,80,2024-10-08
4743,14,140,2024-10-08
4743,5,160,2024-10-08
4032,18,200,2024-01-24
4032,4,80,2024-01-24
408,15,40,2025-03-22
408,19,200,2025-03-22
408,19,180,2025-03-22
408,8,100,2025-03-22
408,5,200,2025-03-22
2874,3,160,2024-01-25
2096,17,80,2025-01-02
2096,4,180,2025-01-02
4627,18,120,2024-01-09
4627,12,180,2024-01-09
4627,13,60,2024-01-09
3840,11,120,2025-05-17
3840,14,100,2025-05-17
3840,14,80,2025-05-17
4008,7,120,2025-04-10
4008,19,100,2025-04-10
4008,20,80,2025-04-10
4008,9,140,2025-04-10
2459,9,180,2024-05-28
1538,7,80,2025-01-27
1764,14,100,2024-02-17
1764,17,100,2024-02-17
3350,2,100,2024-05-07
2968,4,20,2025-09-13
2255,14,160,2025-05-27
2255,6,60,2025-05-27
4347,3,20,2024-08-07
4347,16,140,2024-08-07
4347,19,180,2024-08-07
1037,17,140,2024-02-23
1037,17,80,2024-02-23
2305,14,180,2024-06-14
867,2,40,2024-08-24
867,16,20,2024-08-24
867,4,160,2024-08-24
867,4,20,2024-08-24
3082,12,180,2024-04-17
4939,10,60,2024-07-16
2838,18,100,2024-07-16
1851,1,100,2024-09-26
1851,15,160,2024-09-26
1851,14,180,2024-09-26
3192,1,100,2023-12-05
3192,7,120,2023-12-05
3192,13,200,2023-12-05
3192,18,40,2023-12-05
3192,12,120,2023-12-05
3448,4,100,2024-09-01
3448,9,20,2024-09-01
3448,1,160,2024-09-01
3448,8,140,2024-09-01
2277,19,200,2024-04-24
2277,2,140,2024-04-24
2277,8,180,2024-04-24
2277,15,120,2024-04-24
2240,11,160,2024-03-18
2909,10,40,2025-01-26
284,11,60,2023-11-02
284,4,40,2023-11-02
284,7,60,2023-11-02
284,3,80,2023-11-02
284,7,200,2023-11-02
197,4,20,2024-02-22
197,9,100,2024-02-22
197,15,180,2024-02-22
4402,18,120,2024-05-06
4402,4,160,2024-05-06
4402,16,80,2024-05-06
4402,2,160,2024-05-06
2728,6,20,2024-05-26
2728,19,200,2024-05-26
2728,1,200,2024-05-26
2728,3,80,2024-05-26
1449,8,120,2025-06-06
1449,18,60,2025-06-06
1449,8,120,2025-06-06
4440,16,140,2025-08-29
4440,6,40,2025-08-29
4440,4,100,2025-08-29
4440,15,40,2025-08-29
16,7,100,2025-02-24
1753,7,80,2025-06-22
1753,5,60,2025-06-22
155,16,120,2025-08-31
155,13,160,2025-08-31
155,18,180,2025-08-31
155,9,180,2025-08-31
155,3,60,2025-08-31
737,17,120,2024-12-30
1693,14,60,2024-12-07
1693,1,140,2024-12-07
1693,1,180,2024-12-07
1693,5,160,2024-12-07
3279,3,160,2024-11-18
3279,13,180,2024-11-18
3279,2,40,2024-11-18
2065,2,140,2025-07-26
2065,11,40,2025-07-26
2583,12,20,2025-02-06
2583,15,40,2025-02-06
2583,17,80,2025-02-06
4132,10,200,2024-03-19
4132,16,120,2024-03-19
4132,6,160,2024-03-19
4132,19,200,2024-03-19
2494,11,120,2025-03-28
2494,4,200,2025-03-28
4130,16,20,2025-07-19
4130,1,20,2025-07-19
3470,1,120,2025-02-03
3470,16,160,2025-02-03
4471,4,200,2024-03-08
4471,8,20,2024-03-08
4471,16,60,2024-03-08
4471,16,100,2024-03-08
4471,13,160,2024-03-08
3875,14,120,2024-06-19
3875,3,20,2024-06-19
3875,5,200,2024-06-19
3257,13,100,2024-06-12
3257,6,200,2024-06-12
1406,14,140,2024-03-30
4786,13,20,2025-10-01
4786,13,180,2025-10-01
4786,4,200,2025-10-01
4786,6,160,2025-10-01
3763,15,20,2025-04-22
3763,5,120,2025-04-22
3763,6,60,2025-04-22
3763,15,160,2025-04-22
376,2,140,2025-08-24
376,7,200,2025-08-24
376,18,20,2025-08-24
376,7,100,2025-08-24
3366,15,20,2025-02-11
3366,16,160,2025-02-11
3366,9,100,2025-02-11
3366,11,180,2025-02-11
3790,9,80,2024-02-17
3790,3,80,2024-02-17
4136,9,80,2023-10-21
4136,14,120,2023-10-21
4136,7,20,2023-10-21
4136,3,20,2023-10-21
4136,8,180,2023-10-21
4899,5,20,2024-08-12
4899,17,100,2024-08-12
4899,20,20,2024-08-12
4899,18,180,2024-08-12
4899,18,160,2024-08-12
3201,18,120,2025-03-09
3201,14,200,2025-03-09
3201,19,60,2025-03-09
3201,7,60,2025-03-09
3201,9,60,2025-03-09
633,8,140,2024-10-13
633,12,80,2024-10-13
633,7,20,2024-10-13
485,3,60,2025-04-28
485,20,120,2025-04-28
4137,20,80,2024-12-04
4137,7,100,2024-12-04
4137,6,60,2024-12-04
1284,12,200,2023-11-03
1284,14,140,2023-11-03
1284,18,80,2023-11-03
190,7,80,2024-12-28
190,17,60,2024-12-28
937,10,100,2023-10-29
937,2,120,2023-10-29
937,17,40,2023-10-29
937,12,200,2023-10-29
937,19,140,2023-10-29
3452,9,180,2025-04-23
3452,14,180,2025-04-23
3452,3,100,2025-04-23
3658,19,80,2024-01-16
3658,6,60,2024-01-16
1368,16,200,2025-06-12
1368,10,40,2025-06-12
1368,12,140,2025-06-12
1368,9,60,2025-06-12
2742,4,20,2024-01-28
4955,10,100,2025-08-09
416,14,180,2025-05-15
416,9,20,2025-05-15
416,9,80,2025-05-15
416,20,200,2025-05-15
416,19,20,2025-05-15
953,10,120,2025-06-13
3009,1,40,2024-02-18
3009,1,100,2024-02-18
3009,12,140,2024-02-18
3009,13,40,2024-02-18
2056,10,140,2025-10-13
2056,8,100,2025-10-13
2056,10,80,2025-10-13
2056,4,140,2025-10-13
1327,20,20,2024-09-24
1327,6,100,2024-09-24
1327,7,160,2024-09-24
1327,10,180,2024-09-24
1327,4,20,2024-09-24
116,1,100,2025-08-17
116,16,180,2025-08-17
116,2,120,2025-08-17
116,9,120,2025-08-17
2403,7,200,2025-09-16
2403,15,20,2025-09-16
2403,1,200,2025-09-16
2403,10,20,2025-09-16
2403,10,40,2025-09-16
641,8,40,2024-08-19
641,4,60,2024-08-19
641,2,200,2024-08-19
1438,19,120,2025-07-15
2990,14,80,2025-01-07
2990,16,140,2025-01-07
2990,8,80,2025-01-07
2990,2,180,2025-01-07
2990,1,100,2025-01-07
4774,9,60,2025-06-26
4774,19,80,2025-06-26
4774,19,80,2025-06-26
2449,12,140,2024-01-03
2449,3,80,2024-01-03
2449,15,160,2024-01-03
2449,16,200,2024-01-03
3595,16,60,2025-03-01
3595,4,80,2025-03-01
3595,15,140,2025-03-01
3595,2,140,2025-03-01
3595,18,140,2025-03-01
2041,2,200,2024-06-04
1966,18,160,2023-12-31
1966,4,140,2023-12-31
1966,11,200,2023-12-31
1966,13,80,2023-12-31
2317,5,160,2024-06-09
2317,17,40,2024-06-09
2317,11,80,2024-06-09
2317,16,40,2024-06-09
2317,17,80,2024-06-09
1389,17,20,2025-01-06
1389,11,180,2025-01-06
1389,19,20,2025-01-06
2933,8,60,2024-01-31
4121,20,200,2023-12-15
4121,3,100,2023-12-15
4121,14,20,2023-12-15
4121,12,80,2023-12-15
2432,5,100,2025-10-09
3294,14,140,2025-09-22
3294,15,80,2025-09-22
3294,8,140,2025-09-22
3294,19,180,2025-09-22
601,3,180,2025-03-07
601,3,180,2025-03-07
3727,1,140,2024-07-09
3727,10,120,2024-07-09
528,4,160,2024-12-17
528,3,20,2024-12-17
528,7,180,2024-12-17
528,4,140,2024-12-17
2822,10,40,2025-05-01
3422,17,200,2025-06-02
3422,10,100,2025-06-02
3422,5,140,2025-06-02
190,1,40,2025-02-04
190,1,180,2025-02-04
4663,10,200,2024-02-28
570,5,160,2025-03-28
570,4,100,2025-03-28
4986,4,80,2025-08-07
4986,5,100,2025-08-07
2163,2,40,2024-02-22
2163,19,100,2024-02-22
2163,9,180,2024-02-22
1804,18,180,2024-03-18
2944,14,20,2025-06-24
2944,3,180,2025-06-24
2944,12,40,2025-06-24
128,3,40,2025-06-08
4653,10,20,2024-07-06
